 14
 
 Nr       final h           final V           max gload         max Twall         max Qdot          heat load         user #01          user #02          user #03          user #04          user #05          user #06          user #07          user #08    
 
   1  0.2307891264E+05  0.8602776683E+03  0.1706517324E+02  0.2330308367E+04  0.1421201190E+01  0.4256137161E+08  0.1268390106E+05  0.5952185329E+02  0.5900217808E+03  0.7476889725E+02  0.1115432235E+02  0.4274835838E+03  0.2291748153E+06  0.1148937776E+02
   2  0.2215583971E+05  0.8375268556E+03  0.1653132806E+02  0.2584695607E+04  0.2150996002E+01  0.7793358293E+08  0.1259585966E+05  0.1083426551E+03  0.9709353877E+03  0.1134567423E+03  0.1244669927E+02  0.4554437227E+03  0.1878702184E+06  0.1314243862E+02
   3  0.2209155814E+05  0.8597701563E+03  0.1411778748E+02  0.2761919834E+04  0.2804440691E+01  0.1415161963E+09  0.1211573510E+05  0.1646122438E+03  0.1274772801E+04  0.1482298408E+03  0.1413669026E+02  0.4805746304E+03  0.1355305713E+06  0.1457415336E+02
   4  0.2041323608E+05  0.8754414163E+03  0.1547141668E+02  0.2457487691E+04  0.1757791619E+01  0.5880715452E+08  0.1237673139E+05  0.7351013733E+02  0.8320252650E+03  0.9246740154E+02  0.9724526958E+01  0.4402744910E+03  0.3957399910E+06  0.1144545688E+02
   5  0.2470796965E+05  0.8522680284E+03  0.1384708340E+02  0.2423451840E+04  0.1662415422E+01  0.7484795788E+08  0.1204753624E+05  0.8319876188E+02  0.6459660533E+03  0.8768767496E+02  0.1379431615E+02  0.4368201291E+03  0.1188760354E+06  0.1283190022E+02
   6  0.2171005336E+05  0.8602724038E+03  0.2251304665E+02  0.2876939721E+04  0.3301604399E+01  0.9567471905E+08  0.1361797219E+05  0.1957147185E+03  0.1635202043E+04  0.1745192134E+03  0.1332414242E+02  0.4995742544E+03  0.1767538773E+06  0.1479318229E+02
   7  0.2226601836E+05  0.8712729664E+03  0.1387245731E+02  0.2346142109E+04  0.1460223193E+01  0.5632056074E+08  0.1204248165E+05  0.6077177170E+02  0.6198838367E+03  0.7678386461E+02  0.1088054484E+02  0.4289398233E+03  0.2520860028E+06  0.1145822502E+02
   8  0.2012050640E+05  0.8838767855E+03  0.2008371464E+02  0.2740222471E+04  0.2717348113E+01  0.7798547189E+08  0.1322589370E+05  0.1376436793E+03  0.1404527618E+04  0.1433849268E+03  0.1135868396E+02  0.4770731568E+03  0.2829905658E+06  0.1344298982E+02
   9  0.2471709055E+05  0.8755053068E+03  0.1703210307E+02  0.2664441465E+04  0.2428995550E+01  0.9557734923E+08  0.1269831256E+05  0.1431619411E+03  0.1004040183E+04  0.1284149138E+03  0.1576962654E+02  0.4662541607E+03  0.8868719101E+05  0.1470783580E+02
